STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,550,9.8,5.31,1.25,40.04,83280,4.7,18.46,30.61,37.61,50.34,61.91,38400,63680,78220,104710,128770
AL,530,5,7.84,1.84,19.69,40960,1.4,14.56,15.69,19.04,21.67,24.8,30270,32640,39600,45070,51590
AL,1080,6.1,7.29,1.71,20.26,42130,1.2,16,17.17,19.28,22.01,25.42,33280,35710,40100,45780,52860
AL,620,6.7,9.19,2.16,20.1,41810,1.5,15.22,16.7,19.43,21.71,26.21,31660,34730,40410,45150,54520
AL,630,4.9,7.34,1.72,20.64,42940,1.9,15,16.58,19.49,23.45,27.57,31200,34480,40530,48780,57350
AR,680,5.5,5.76,1.35,19.77,41130,1.7,15.05,16.71,17.72,21.32,26.07,31300,34750,36860,44340,54230
AR,460,7.8,7,1.65,18.07,37590,2.7,13.73,14.84,17.55,19.08,23.74,28550,30860,36500,39690,49380
AR,490,5.9,5.61,1.32,19.65,40870,1.7,15.71,17.16,19.2,21.31,23.36,32680,35690,39930,44320,48600
AR,540,5.3,5.86,1.38,19.73,41040,1.3,14.43,16.79,19.43,20.48,26,30010,34920,40400,42600,54080
AZ,1040,4.4,11.09,2.61,30.41,63260,1,22.81,24.96,29.13,37.04,37.48,47450,51920,60580,77040,77950
CA,710,6.5,6.75,1.59,43.62,90730,2.3,28.83,35.64,39.36,52.52,65.43,59970,74130,81860,109240,136090
CA,440,8,7.17,1.69,48.15,100150,1.9,29.36,36.43,45.69,63.78,68.38,61070,75780,95040,132670,142230
CA,800,5.3,7.85,1.84,45.87,95410,2.1,26.26,32.07,42.25,66.9,68.38,54620,66710,87880,139150,142230
CO,440,10.7,6.49,1.52,29.15,60630,3.6,18.99,22.88,25.68,33.05,43.25,39510,47590,53420,68750,89960
CO,540,5.1,5.19,1.22,32.36,67300,1.1,23.91,28.4,30.49,37.11,43.25,49730,59070,63430,77180,89960
CO,550,4.8,4.37,1.03,36.19,75270,1.4,27.04,30.41,36.92,41.42,43.68,56240,63240,76800,86160,90850
CT,160,2.6,4.72,1.11,37.39,77770,0.4,30,30.96,35.91,46.26,48.79,62400,64400,74690,96220,101480
DC,5010,0,7.14,1.68,39.82,82820,0,28.94,34.18,38.48,44.55,52.64,60200,71100,80040,92670,109490
DE,1730,2.3,3.69,0.87,39.51,82180,0.6,28.62,31.99,39.62,46.88,49.88,59540,66540,82410,97500,103750
FL,550,8.6,6.54,1.54,29.44,61230,2.5,19.49,21.24,31.16,33.56,40.65,40540,44170,64820,69800,84550
FL,900,12.3,7.44,1.75,22.54,46880,2.8,18.61,19.62,22.05,23.3,27.65,38700,40800,45870,48450,57510
GA,1130,4.5,5.88,1.38,22.19,46150,1.3,18.2,19.56,22.19,23.67,27.57,37850,40690,46150,49230,57350
GA,870,5,6.68,1.57,22.42,46620,1.1,17,18.65,21.96,24.65,28.77,35360,38800,45680,51280,59850
GA,620,5.5,7.11,1.67,21.14,43960,1.7,16.85,18.33,19.73,22.43,27.89,35040,38130,41030,46660,58010
GA,1440,4.1,7.51,1.76,20.28,42180,2,15.56,18.26,19.12,22.07,24.76,32370,37970,39780,45900,51500
HI,500,0,4.93,1.16,41.13,85550,0.6,35.92,38.21,41.59,41.72,50.47,74700,79480,86510,86770,104980
IA,400,4.9,4.08,0.96,31.06,64600,1.6,21.9,28.39,30.19,36.02,40.46,45550,59060,62790,74930,84170
IA,480,5.9,3.61,0.85,31.97,66500,2,23.78,28.37,31.21,35.87,43.03,49470,59010,64920,74610,89500
IA,330,4.7,4.01,0.94,29.7,61780,1.9,23.26,25.44,29.49,34.1,35.67,48380,52900,61340,70920,74190
IA,690,4.3,3.29,0.77,30.68,63810,1.3,23.35,27.79,30.21,33.6,37.4,48560,57810,62840,69890,77800
ID,330,12.7,4.53,1.06,27.21,56590,5.1,22.71,23.3,24.08,29.62,35.35,47240,48470,50080,61610,73530
ID,430,11.7,4.65,1.09,29.33,61000,3,22.79,23.57,27.56,33.04,39.32,47410,49030,57330,68720,81780
IL,590,10.7,4.62,1.09,31.98,66530,3.9,23.12,26.78,31.19,36.56,44.04,48090,55700,64870,76050,91610
IL,960,7,5.93,1.39,29.68,61720,1.9,21.83,23.49,28.88,32.54,41.29,45410,48870,60080,67680,85890
IL,460,8,4,0.94,28.97,60250,2.5,20.82,23.53,28.49,33.02,36.39,43300,48950,59250,68680,75690
IL,460,9.5,5.26,1.24,27.21,56590,3.4,18.97,22.77,26.1,30.09,36.2,39460,47370,54290,62590,75290
IN,860,6.5,4.06,0.95,28.26,58780,1.2,23.05,24.12,27.86,30.8,35.98,47930,50160,57940,64050,74840
IN,680,5.2,4.31,1.01,26.22,54550,1.4,21.96,23.66,25.33,28.4,31.47,45680,49210,52680,59070,65460
IN,750,5.4,4.05,0.95,27.78,57770,1.1,22.34,23.89,26.36,29.94,37.05,46470,49680,54820,62280,77060
KS,1790,7.3,4.61,1.08,22.79,47410,1.5,17.96,19,22.13,24.59,29.03,37360,39520,46040,51150,60380
KY,670,14,4.42,1.04,22.98,47800,3.3,16.81,19.45,23.27,26.14,30.46,34970,40460,48410,54360,63350
KY,660,14.6,3.86,0.91,19.66,40890,3.3,14.78,17.54,18.69,22.63,24.38,30730,36490,38880,47080,50710
KY,920,10.2,4.96,1.16,21.42,44560,2.6,16.32,18.16,22.24,23.55,28.42,33950,37770,46270,48970,59120
KY,600,19.3,5.91,1.39,18.82,39150,6.7,13.61,14.08,18.24,22.77,24,28310,29280,37940,47360,49910
LA,710,9.5,9.2,2.16,18.81,39110,2,13.99,15.83,17.92,21.8,24.56,29100,32920,37270,45340,51090
LA,590,10.4,9.35,2.2,19.01,39540,2.7,14.06,16.95,17.81,21.94,23.58,29240,35250,37040,45640,49040
LA,510,16.9,7.6,1.79,17.07,35510,3.9,14.12,14.45,17.34,18.7,21.93,29370,30060,36060,38890,45620
MA,420,8.7,6.63,1.56,33.71,70110,3.2,21.16,25.42,30.61,40.65,49.07,44010,52870,63670,84540,102060
MD,340,6.6,5.87,1.38,31.78,66100,1.3,24.41,25.3,29.39,37.09,44.03,50780,52620,61130,77150,91580
ME,350,8.9,5.06,1.19,26.96,56070,1.6,22.16,23.44,26.19,30.58,33.69,46090,48760,54480,63600,70080
ME,710,7.2,3.76,0.88,29.27,60890,1.4,23.91,25.64,28.52,32.22,35.91,49740,53330,59330,67020,74690
MI,800,7.1,7.31,1.72,28.94,60200,1.1,22.31,24.47,27.8,32.51,37.77,46400,50900,57820,67630,78560
MI,560,13.2,7.38,1.73,28.76,59820,2.7,21.91,24.04,28.01,31.39,37.77,45580,50000,58260,65300,78560
MI,510,8.1,4.19,0.98,28.63,59550,1.5,22.15,24.3,27.91,32.35,37.52,46080,50540,58040,67290,78050
MI,1040,9.7,3.94,0.93,28.71,59710,1.5,22.61,24.3,28.6,32.2,37.77,47040,50530,59480,66980,78560
MN,960,5.5,5.09,1.19,34.3,71340,1,26.86,29.59,33.98,37.51,45.42,55870,61550,70680,78010,94470
MN,170,14.4,4.01,0.94,32.28,67130,1.7,26.76,27.89,32.01,36.52,37.96,55660,58020,66580,75950,78960
MN,440,10,3.69,0.87,32.89,68410,1.2,25.26,29.08,32.84,35.67,42.01,52540,60490,68300,74200,87370
MN,550,6.9,3.61,0.85,35.46,73760,1.5,27.33,31.39,36.34,40.45,42.59,56850,65290,75590,84140,88590
MO,890,9,5.57,1.31,21.39,44490,1.7,17.43,17.97,21.71,23.36,27.43,36250,37380,45150,48600,57050
MO,800,7.7,7.6,1.79,20.73,43110,3,16.58,17.53,18.55,21.94,28.25,34480,36460,38580,45630,58760
MO,1160,9,7.14,1.68,22.14,46050,4,15.75,17.5,20.27,27.07,29.97,32750,36400,42170,56300,62340
MO,350,9.4,4.84,1.14,20.65,42960,1.8,15.99,17.61,19.03,23.78,25.06,33250,36630,39570,49470,52120
MS,1220,4.9,5.38,1.26,20.55,42740,1.4,14.3,17.86,19.91,23.66,25.44,29750,37150,41410,49200,52920
MS,770,7.3,8.95,2.1,19.32,40190,2.8,13.66,15.6,18.48,22.89,25.32,28420,32450,38430,47600,52660
MS,1240,4.3,8.44,1.98,19.82,41220,1.5,13.96,16.81,19.14,23.06,25.44,29030,34970,39820,47960,52920
MS,510,6.3,7.14,1.68,19.54,40650,2.5,13.51,14.96,18.46,22.8,25.96,28100,31130,38390,47420,54000
MT,510,2.5,3.4,0.8,32.46,67520,0.9,23.92,28.51,31.61,36.43,40.32,49740,59300,65740,75780,83870
MT,400,4.2,4.91,1.15,30.7,63850,0.9,24.07,28.82,30.49,33.11,35.8,50070,59940,63410,68870,74450
MT,660,7,10.36,2.43,28.44,59140,2.4,22.72,23.55,28.01,30.25,36.8,47250,48980,58260,62930,76550
NC,1620,3,6.55,1.54,23.64,49160,0.6,19.06,19.79,22.05,25.39,32.15,39650,41160,45860,52820,66870
NC,720,3.6,7.8,1.83,23.4,48660,1.3,17.58,19.4,22.74,24.79,30.62,36560,40350,47300,51570,63690
NC,1470,3.8,5.76,1.35,23.67,49230,0.8,19.02,20.41,22.61,25.35,30.06,39570,42450,47040,52730,62530
NC,850,3.2,6.41,1.51,23.04,47930,1.1,18.42,19.58,21.97,23.8,32.61,38310,40720,45690,49500,67830
ND,620,8.5,5.41,1.27,33.16,68960,1.4,24.28,29.44,33.68,35.25,40.3,50490,61220,70050,73320,83830
ND,300,13.4,4.89,1.15,29.68,61740,2.9,23.58,24.75,28.35,34.67,36.88,49040,51470,58960,72110,76720
NE,300,11.5,7.8,1.83,27.25,56670,1.8,22,23.53,25.69,29.89,36.8,45750,48940,53430,62170,76550
NE,480,7.8,5.11,1.2,28.41,59090,1.8,21.87,23.6,28.97,31.84,37.16,45480,49080,60250,66230,77290
NE,870,10.3,5.86,1.38,27.84,57910,1.9,22.1,22.62,28.59,30.45,36.2,45960,47050,59470,63340,75300
NH,280,7.8,7.88,1.85,29.71,61790,1.7,23.81,26.93,28.66,32.42,37.89,49530,56020,59600,67430,78810
NH,540,5.8,5.83,1.37,31.81,66170,0.9,23.97,26.48,30.95,38.02,41.37,49860,55080,64370,79090,86050
NH,400,5.7,3.94,0.93,29.7,61770,1.7,24.02,26.85,28.57,31.35,38.53,49960,55840,59430,65200,80150
NJ,21330,1.9,5.08,1.19,45.23,94070,0.7,28.03,32.17,44.16,57.3,64.7,58300,66910,91850,119180,134570
NM,660,5.5,8.19,1.92,28.11,58470,1.1,21.06,22.98,26.14,31.59,37.36,43810,47810,54380,65710,77700
NM,1110,6.8,7,1.64,28.1,58450,1.7,20.49,22.15,26.53,32.95,40.63,42610,46070,55190,68540,84520
NV,550,5.6,5.48,1.29,31.43,65370,1.1,24.73,28.52,31.67,33.4,37.29,51430,59320,65870,69470,77560
NY,800,5.3,5.76,1.35,35.63,74100,1.1,24.62,28.65,34.09,46.25,48.21,51210,59590,70900,96200,100280
NY,1270,7.5,7.46,1.75,34.18,71090,2.3,22.61,25.38,34.37,40.62,48.21,47030,52800,71490,84480,100280
NY,1020,6.3,6.47,1.52,35.01,72820,1.3,24.88,28.65,32.76,41.59,48.21,51740,59590,68140,86510,100280
OH,1010,4.7,4.07,0.96,28.41,59090,2,18.77,22.81,28.23,32.4,38.7,39050,47440,58710,67390,80500
OH,1550,5.3,4.75,1.12,28.6,59480,1.8,17,22.92,27.94,35.96,40.42,35370,47660,58120,74800,84070
OH,580,6.7,4.35,1.02,29.25,60840,1.5,19.83,24.08,27.92,32.47,40.87,41240,50080,58070,67540,85010
OH,840,4.4,5.24,1.23,29.15,60640,1.1,18.4,22.91,27.81,35.96,41.78,38270,47660,57840,74800,86900
OK,870,7.7,7.39,1.74,23.86,49620,2.2,14.34,17.24,20.52,25.66,45.02,29830,35860,42680,53370,93640
OK,650,8.9,6.7,1.57,23.55,48980,2.3,14.61,17.97,22.78,25.5,34.07,30390,37390,47370,53030,70860
OK,380,7.8,6.11,1.44,21.72,45190,3.3,14.45,17.44,19.61,23.91,31.78,30060,36280,40790,49730,66100
OK,1370,10.9,8,1.88,22.82,47460,3.1,14.45,17.56,19.27,28.5,35.55,30060,36530,40080,59280,73940
OR,570,9,5.02,1.18,36.06,75000,1.1,29.93,31.81,34.94,38.32,48.38,62260,66160,72680,79700,100630
OR,280,7.6,4.35,1.02,35.96,74790,1.1,26.85,30.2,34.17,39.49,50.8,55850,62820,71070,82140,105660
OR,330,8.3,4.5,1.06,39.52,82200,2,27.86,32.25,38.98,49.36,50.8,57940,67080,81080,102670,105660
PA,670,5.6,4.76,1.12,34.58,71930,3,19.96,23.07,33.62,45.38,50.57,41510,47990,69930,94390,105190
PA,820,6.5,5.46,1.28,32.83,68280,3.8,17.37,20.79,32.59,44.96,50.15,36120,43250,67800,93520,104310
PA,880,10.6,4.7,1.1,33.34,69340,5.1,15.47,23.64,33.46,44.54,49.92,32180,49170,69600,92640,103830
RI,1890,4.3,3.87,0.91,35.26,73330,1.4,24.57,31.69,36.57,39.26,43.15,51100,65920,76060,81660,89750
SC,580,5.9,7.31,1.72,22.29,46350,1,17.4,19.8,21.94,24.25,28.32,36200,41180,45640,50450,58910
SC,510,6.5,9.54,2.24,22.37,46540,1.3,17.31,19.2,22.08,25.33,28.29,36010,39930,45920,52680,58850
SC,1010,3.8,10.86,2.55,20.75,43160,1.1,15.28,17.75,19.97,23.49,27.59,31770,36910,41540,48850,57390
SD,520,6.1,3.98,0.94,25.74,53540,0.9,19.65,23.35,25.69,28.33,31.19,40880,48560,53430,58920,64870
SD,520,7.5,8.31,1.95,25.16,52340,1.3,20.35,22.41,25.1,27.53,30.89,42330,46620,52220,57260,64240
TN,830,8.4,6.21,1.46,21.5,44720,1.5,17.38,18.27,20.75,23.62,26.64,36160,38000,43150,49130,55410
TN,650,7.9,5.87,1.38,21.65,45020,1.3,18.11,18.87,21.27,22.69,27.05,37680,39260,44240,47200,56260
TN,530,8.7,4.64,1.09,22.03,45820,1.3,16.37,18.32,20.66,23.79,31.49,34050,38110,42960,49480,65500
TN,720,9.5,5.14,1.21,21.75,45230,1.6,14.87,17.5,22.21,24.07,28.32,30920,36400,46190,50070,58900
TX,1400,5.8,7.12,1.67,27.64,57500,1.1,20.96,23.2,25.85,30.21,37.49,43600,48260,53770,62830,77980
TX,1680,5.3,6.02,1.41,27.64,57490,1.5,20.59,22.68,26.45,31.29,37.49,42840,47180,55010,65090,77980
TX,720,3.1,6.72,1.58,28.87,60040,1.2,21.06,23.72,29.23,32.76,37.49,43790,49340,60800,68140,77980
TX,1200,6.4,5.94,1.4,27.94,58110,1.4,20.43,22.92,26.65,30.76,39.15,42490,47680,55430,63980,81430
TX,570,3,9.54,2.24,25.32,52670,0.9,18.38,18.77,23.01,29.18,36.54,38220,39050,47860,60690,76010
TX,1260,3.7,8.47,1.99,27.62,57450,1,19.47,22.43,26.72,31.69,37.49,40500,46660,55580,65920,77980
UT,530,5.5,6.01,1.41,34.45,71650,1.8,23.02,24.91,31.65,40.99,54.87,47890,51810,65830,85270,114130
UT,280,12.3,4.93,1.16,28.91,60130,2.1,23.29,24.98,28.11,30.69,38.26,48440,51950,58470,63820,79580
VA,1050,7.2,8.99,2.11,24.93,51840,1.9,18.78,21.72,23.38,28.39,32.08,39060,45170,48620,59040,66730
VA,670,6.3,6.61,1.55,25.2,52410,0.9,20.24,22.36,24.25,28.1,31.7,42100,46510,50440,58440,65930
VA,420,7.2,8.48,1.99,26.4,54900,1.3,20.45,22.93,24.33,29.47,32.92,42540,47700,50610,61290,68480
VA,470,5.4,7.17,1.69,25.2,52420,0.8,20.72,22.79,23.56,27.79,30.61,43090,47410,49000,57800,63680
VT,340,10.1,3.31,0.78,30.99,64470,2,23.3,25.71,30.78,35.52,40.95,48460,53480,64020,73880,85180
VT,240,7.8,3.49,0.82,32.15,66870,1.5,23.88,27.59,30.78,36.96,42.23,49660,57400,64020,76880,87840
WA,690,5.1,5.38,1.26,36.3,75510,0.7,27.65,31.25,37.68,39.83,44.77,57510,65000,78380,82840,93120
WA,430,7.5,4.11,0.97,38.32,79710,1,31.09,35.87,37.57,43.63,45.31,64680,74620,78150,90750,94250
WI,370,13.1,7.8,1.83,28.92,60160,1.6,22.95,25.36,28.71,32.2,37.41,47730,52740,59710,66970,77810
WI,1090,4.5,5.59,1.31,31.22,64940,1.4,21.83,28.24,31.53,36.5,38.23,45410,58740,65580,75910,79510
WI,1010,5,4.9,1.15,31.42,65350,1,22.95,27.68,31.39,35.38,39.34,47730,57570,65280,73590,81830
WI,740,6.5,5.47,1.28,29.73,61840,1.7,21.45,25.23,30.18,33.91,37.41,44620,52470,62770,70540,77810
WV,490,10.2,6.94,1.63,23.22,48290,2.2,14.93,19.01,23.29,27.11,30.18,31060,39540,48430,56390,62770
WV,770,12,5.71,1.34,24.34,50620,1.8,18.36,22.49,23.68,26.99,30.18,38200,46780,49240,56130,62770
WY,450,10.4,4.55,1.07,29.92,62230,2.4,22.34,24.88,29.83,33.95,38.74,46460,51760,62040,70620,80590
WY,400,6.2,4.79,1.13,29.24,60810,1.4,23.1,25.34,29.92,32.18,36.23,48050,52710,62230,66940,75360
